latitude,longitude,altitude,velocity,visibility,footprint,timestamp,daynum,solar_lat,solar_lon,units
-29.5455126826,37.2551872259,428.6699917056,27550.682533873,daylight,4551.3120614795,2022-01-31 06:41:29.000,2459610.7788079,-17.3676633368,82.9811054577,kilometers
-29.4546602858,37.352119924,428.6261195436,27550.796289526,daylight,4551.091475739,1970-01-20 00:33:31.291,2459610.778831,-17.3676568633,82.9727730271,kilometers
-29.3637228834,37.448866387,428.5822415949,27550.910132388,daylight,4550.8708478228,1970-01-20 00:33:31.293,2459610.7788542,-17.3676503898,82.9644405965,kilometers
-29.2727009248,37.5454274649,428.5383584564,27551.024061345,daylight,4550.6501807252,1970-01-20 00:33:31.295,2459610.7788773,-17.3676439163,82.9561081658,kilometers
-29.1815930241,37.6418059431,428.4944698417,27551.138077578,daylight,4550.4294729995,1970-01-20 00:33:31.297,2459610.7789005,-17.3676374427,82.9477755676,kilometers
-29.0904032924,37.737998791,428.4505781129,27551.252175386,daylight,4550.2087365181,1970-01-20 00:33:31.299,2459610.7789236,-17.3676309692,82.9394431369,kilometers
-28.9991303414,37.8340087939,428.406682983,27551.366355946,daylight,4549.9879698331,1970-01-20 00:33:31.301,2459610.7789468,-17.3676244957,82.9311107063,kilometers
-28.9077746129,37.9298367952,428.3627850476,27551.480618146,daylight,4549.767175935,1970-01-20 00:33:31.303,2459610.7789699,-17.3676180222,82.9227782756,kilometers
-28.8163347066,38.0254855583,428.3188840187,27551.594963172,daylight,4549.5463533709,1970-01-20 00:33:31.305,2459610.7789931,-17.3676115486,82.9144456774,kilometers
-28.7248147393,38.1209520748,428.2749822573,27551.709385312,daylight,4549.3255140136,1970-01-20 00:33:31.307,2459610.7790162,-17.3676050751,82.9061132467,kilometers
-28.6790241797,38.1686179746,428.2530309567,27551.766625813,daylight,4549.2150873053,1970-01-20 00:33:31.308,2459610.7790278,-17.3676018383,82.9019470314,kilometers
-28.5873821802,38.2638155801,428.2091278866,27551.881164984,daylight,4548.9942216958,1970-01-20 00:33:31.310,2459610.7790509,-17.3675953648,82.8936146007,kilometers
-28.495657522,38.3588368656,428.1652238033,27551.99578309,daylight,4548.7733378731,1970-01-20 00:33:31.312,2459610.7790741,-17.3675888912,82.8852820025,kilometers
-28.4038543269,38.4536788414,428.1213210665,27552.110474409,daylight,4548.5524477081,1970-01-20 00:33:31.314,2459610.7790972,-17.3675824176,82.8769495718,kilometers
-28.31197118,38.548344252,428.0774193862,27552.225240132,daylight,4548.3315497402,1970-01-20 00:33:31.316,2459610.7791204,-17.3675759441,82.8686171412,kilometers
-28.2200085093,38.6428339272,428.033519355,27552.340079147,daylight,4548.1106469503,1970-01-20 00:33:31.318,2459610.7791435,-17.3675694706,82.8602847105,kilometers
-28.1279648882,38.7371505901,427.989620682,27552.454992655,daylight,4547.8897378743,1970-01-20 00:33:31.320,2459610.7791667,-17.3675629969,82.8519521122,kilometers
-28.0358444442,38.8312912721,427.9457257251,27552.56997492,daylight,4547.6688343782,1970-01-20 00:33:31.322,2459610.7791898,-17.3675565234,82.8436196816,kilometers
-27.9436457488,38.9252586963,427.9018341925,27552.685027142,daylight,4547.4479349945,1970-01-20 00:33:31.324,2459610.779213,-17.3675500499,82.8352872509,kilometers
-27.8513673653,39.0190555701,427.8579457921,27552.800150527,daylight,4547.2270382546,1970-01-20 00:33:31.326,2459610.7792361,-17.3675435762,82.8269546526,kilometers
-27.7590134253,39.11267894,427.8140628802,27552.915339332,daylight,4547.0061560191,1970-01-20 00:33:31.328,2459610.7792593,-17.3675371027,82.818622222,kilometers
-27.6665824901,39.2061315131,427.7701851636,27553.030594762,daylight,4546.7852868155,1970-01-20 00:33:31.330,2459610.7792824,-17.3675306291,82.8102897913,kilometers
-27.5740749751,39.2994141061,427.7263132316,27553.145915708,daylight,4546.5644336137,1970-01-20 00:33:31.332,2459610.7793056,-17.3675241556,82.8019573606,kilometers
-27.4814894303,39.3925294052,427.6824467908,27553.26130338,daylight,4546.3435949389,1970-01-20 00:33:31.334,2459610.7793287,-17.3675176819,82.7936247623,kilometers
-27.3888299925,39.4854744769,427.6385881943,27553.376752028,daylight,4546.1227826421,1970-01-20 00:33:31.336,2459610.7793519,-17.3675112084,82.7852923316,kilometers
-27.29609521,39.5782520072,427.5947371474,27553.492262864,daylight,4545.9019952445,1970-01-20 00:33:31.338,2459610.779375,-17.3675047348,82.776959901,kilometers
-27.203285491,39.6708628051,427.5508942375,27553.607834779,daylight,4545.6812357078,1970-01-20 00:33:31.340,2459610.7793981,-17.3674982613,82.7686274703,kilometers
-27.1103993727,39.7633095359,427.5070591693,27553.723468992,daylight,4545.4605025519,1970-01-20 00:33:31.342,2459610.7794213,-17.3674917876,82.760294872,kilometers
-27.0174409971,39.8555892856,427.4632342929,27553.839159743,daylight,4545.2398076151,1970-01-20 00:33:31.344,2459610.7794444,-17.367485314,82.7519624413,kilometers
-26.9244088996,39.9477047191,427.4194193116,27553.954908252,daylight,4545.0191494122,1970-01-20 00:33:31.346,2459610.7794676,-17.3674788405,82.7436300106,kilometers
-26.8313016078,40.039658486,427.3756139296,27554.07071574,daylight,4544.7985264587,1970-01-20 00:33:31.348,2459610.7794907,-17.3674723668,82.7352974123,kilometers
-26.7381232674,40.1314476865,427.3318204935,27554.186576445,daylight,4544.5779505818,1970-01-20 00:33:31.350,2459610.7795139,-17.3674658932,82.7269649816,kilometers
-26.6448724044,40.2230749699,427.2880387058,27554.302491589,daylight,4544.3574202917,1970-01-20 00:33:31.352,2459610.779537,-17.3674594196,82.718632551,kilometers
-26.5515494151,40.3145411321,427.2442691497,27554.418460067,daylight,4544.1369385343,1970-01-20 00:33:31.354,2459610.7795602,-17.3674529461,82.7103001203,kilometers
-26.4581528149,40.4058488022,427.2005115277,27554.534483109,daylight,4543.9165038198,1970-01-20 00:33:31.356,2459610.7795833,-17.3674464724,82.701967522,kilometers
-26.3646867545,40.4969950988,427.156768182,27554.650554945,daylight,4543.696127958,1970-01-20 00:33:31.358,2459610.7796065,-17.3674399988,82.6936350913,kilometers
-26.2711497472,40.5879826506,427.1130388137,27554.766676804,daylight,4543.4758094527,1970-01-20 00:33:31.360,2459610.7796296,-17.3674335252,82.6853026606,kilometers
-26.1775421831,40.6788122458,427.0693240033,27554.882847584,daylight,4543.2555512399,1970-01-20 00:33:31.362,2459610.7796528,-17.3674270516,82.6769702299,kilometers
-26.0838625652,40.7694864933,427.0256234518,27554.999068521,daylight,4543.0353518241,1970-01-20 00:33:31.364,2459610.7796759,-17.3674205779,82.6686376315,kilometers
-25.9901150492,40.8600025297,426.9819394966,27555.115333839,daylight,4542.8152229953,1970-01-20 00:33:31.366,2459610.7796991,-17.3674141043,82.6603052008,kilometers
